Subcounty,Blood Bank,Dental Clinic,Dispensary,District Health Office,District Hospital,Eye Centre,Eye Clinic,Funeral Home (Stand-alone),Health Centre,Health Programme,Health Project,Laboratory (Stand-alone),Maternity Home,Medical Centre,Medical Clinic,National Referral Hospital,Not in List,Nursing Home,Other Hospital,Provincial General Hospital,Radiology Unit,Regional Blood Transfusion Centre,Rural Health Training Centre,Sub-District Hospital,Training Institution in Health (Stand-alone),VCT Centre (Stand-Alone),raw_healthcare_capacity
Athi River,0,0,6,0,0,0,0,0,2,0,0,0,2,0,31,0,0,1,1,0,0,0,0,0,0,5,58
Awendo,0,0,12,0,0,0,0,0,2,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,27
Balambala,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19
Banisa,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Baringo Central,0,0,39,0,1,0,0,0,7,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,1,76
Baringo North,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
Belgut,0,0,50,0,1,0,0,0,4,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,80
Bomet Central,0,0,22,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,35
Bomet East,0,0,7,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Bondo,0,0,24,0,1,0,0,0,3,0,0,0,1,0,7,0,0,1,0,0,0,0,0,1,0,0,58
Borabu,0,0,20,0,0,0,0,0,9,0,0,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,63
Bumula,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Buna,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
Bungoma Central,0,0,12,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,28
Bungoma East,0,0,17,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,1,0,0,0,0,1,0,0,42
Bungoma North,0,0,14,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,30
Bungoma South,0,0,12,0,2,0,0,0,1,0,0,0,0,0,20,0,0,6,0,0,0,0,0,0,0,2,65
Bungoma West,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16
Bunyala,0,0,7,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Bura,0,0,15,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22
Bureti,0,0,27,0,1,0,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,58
Busia,0,0,9,0,1,0,0,0,2,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,34
Butere,0,0,5,0,1,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,55
Butula,0,0,15,0,1,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,35
Buuri,0,1,15,0,0,0,0,0,3,0,0,2,0,0,22,0,0,0,1,0,0,0,0,2,0,0,64
Changamwe,0,0,9,0,1,0,0,0,4,1,0,0,1,0,50,0,0,2,2,0,0,0,0,0,0,1,99
Chepalungu,0,0,26,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,41
Cheptais,0,0,8,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,21
Chesumei,0,0,19,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,28
Dadaab,0,0,7,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,46
Dagoretti North,0,1,19,0,0,0,0,0,12,0,0,0,0,1,27,1,0,0,5,0,0,0,0,0,1,5,125
Dagoretti South,0,0,14,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,37
East Pokot,0,0,29,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
Eldas,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Eldoret East,1,0,32,0,1,0,0,0,9,0,0,0,1,0,14,1,0,0,5,0,0,0,0,0,0,3,122
Eldoret West,0,0,39,0,1,0,0,0,9,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,99
Embakasi Central,0,0,0,0,0,0,0,0,11,0,0,0,1,0,27,0,0,2,1,0,0,0,0,0,0,1,75
Embakasi East,0,0,4,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,1,41
Embakasi North,0,0,2,0,0,0,0,0,2,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,26
Embakasi South,0,0,4,1,0,0,0,0,5,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,38
Embakasi West,0,0,4,0,1,0,0,0,2,0,0,0,1,0,24,0,0,1,2,0,0,0,0,0,0,3,58
Embu East,0,0,23,0,1,0,0,0,3,0,0,0,0,0,11,0,0,1,1,0,0,0,0,1,0,0,64
Emuhaya,0,0,9,0,0,0,0,0,6,0,0,0,0,2,13,0,0,2,1,0,0,0,0,1,0,0,64
Fafi,0,0,10,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37
Galole,0,0,9,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19
Ganze,0,0,13,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,30
Garbatula,0,0,14,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Garissa,0,0,14,0,0,0,0,0,4,0,0,0,0,1,47,0,0,6,2,1,0,0,0,1,0,0,122
Gatanga,0,0,18,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,48
Gatundu,0,0,8,0,1,0,0,0,6,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,51
Gatundu North,0,0,9,0,0,0,0,0,1,0,0,0,1,0,14,0,0,0,0,0,0,0,0,1,0,0,35
Gem,0,0,16,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,67
Gilgil,0,0,11,0,0,0,0,0,2,0,0,0,0,0,19,0,0,1,2,0,0,0,0,1,0,0,57
Githunguri,0,0,14,0,0,0,0,0,6,0,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,0,50
Gucha,0,0,6,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20
Habaswein,0,0,3,0,1,0,0,0,5,0,0,0,0,0,6,0,0,1,0,0,0,0,0,2,0,0,45
Hamisi,0,0,9,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,44
Homa Bay,0,0,24,0,4,0,0,0,8,0,0,0,0,0,8,0,0,1,0,0,0,0,0,1,0,3,89
Hulugho,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17
Igembe Central,0,0,17,0,0,0,0,0,2,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,40
Igembe North,0,0,2,0,0,0,0,0,2,0,0,0,1,0,10,0,0,1,1,0,0,0,0,1,0,0,36
Igembe South,0,0,14,0,1,0,0,0,3,0,0,1,2,0,21,0,0,0,1,0,0,0,0,0,0,0,62
Ijara,0,0,6,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22
Ikutha,0,0,9,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,17
Imenti North,0,2,22,1,1,1,1,1,1,0,0,6,0,4,115,0,12,1,0,0,2,0,0,1,1,0,167
Imenti South,0,0,30,0,1,0,0,0,5,0,0,0,0,0,20,0,0,0,2,0,0,0,0,2,0,0,95
Isinya,0,3,6,0,0,0,0,0,4,0,0,0,0,0,17,0,0,1,1,0,0,0,0,0,0,1,44
Isiolo,0,0,18,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,39
Kahuro,0,0,5,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,35
Kajiado Central,0,0,26,0,1,0,0,0,6,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,74
Kajiado North,0,2,32,0,0,0,0,0,6,0,0,1,2,1,86,0,0,7,11,0,1,0,0,1,0,2,238
Kakamega Central (Lurambi),0,0,30,0,0,0,0,0,2,0,0,0,0,0,11,0,0,5,0,1,0,0,0,1,0,2,78
Kakamega East (Shinyalu),0,0,13,0,0,0,0,0,5,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,44
Kakamega North (Malava),0,0,19,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,39
Kakamega South (Ikolomani),0,0,8,0,1,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,42
Kaloleni,0,0,11,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,2,0,0,0,0,1,0,1,44
Kamukunji,0,0,10,0,0,0,0,0,6,0,1,0,1,1,25,0,0,10,2,0,0,0,0,0,0,2,102
Kandara,0,0,27,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,2,0,0,0,0,1,0,0,59
Kangundo,0,0,9,0,1,0,0,0,4,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,38
Kasarani,0,0,15,0,0,0,0,0,2,0,0,0,1,0,30,0,0,1,1,0,0,0,0,0,0,2,63
Kathiani,0,0,14,0,1,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,35
Kathonzweni,0,0,8,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,27
Katulani,0,0,17,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,31
Keiyo,0,0,17,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,40
Keiyo South,0,0,28,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,61
Kenyenya,0,0,6,0,1,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,22
Kericho,0,0,37,0,1,0,0,0,4,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,2,95
Khwisero,0,0,3,0,0,0,0,0,10,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,1,47
Kiambu,0,0,15,0,1,0,0,0,2,0,0,0,2,0,33,0,0,1,4,0,0,0,0,1,0,1,99
Kibra,0,0,26,0,1,0,0,0,4,0,0,5,6,1,34,1,0,0,0,0,0,0,0,0,1,9,109
Kibwezi,0,0,22,0,0,0,0,0,7,0,0,0,0,0,14,0,0,1,1,0,0,0,0,2,0,0,78
Kieni East,0,0,13,0,0,0,0,0,3,0,0,0,0,0,26,0,0,1,0,0,0,0,0,0,0,0,51
Kieni West,0,0,9,0,0,0,0,0,3,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,43
Kigumo,0,0,10,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,36
Kiharu,0,0,17,0,1,0,0,0,2,0,0,0,0,0,23,0,0,1,0,0,0,0,0,1,0,0,61
Kikuyu,0,0,17,1,0,0,0,0,4,0,0,0,0,0,32,0,0,2,3,0,0,0,0,1,0,0,91
Kilifi North,0,0,16,0,1,0,0,0,2,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,49
Kilifi South,0,0,9,0,0,0,0,0,4,0,0,0,0,0,20,0,0,2,0,0,0,0,0,0,0,0,47
Kilungu,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,31
Kimilili Bungoma,0,0,10,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23
Kinango,0,0,27,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,45
Kinangop,0,0,10,0,0,0,0,0,4,0,0,0,1,0,20,0,0,0,1,0,0,0,0,0,0,0,51
Kipipiri,0,0,5,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,26
Kipkelion,0,0,23,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,44
Kirinyaga Central,0,1,16,0,1,1,0,0,4,0,0,6,0,0,24,0,0,4,1,0,1,0,0,0,0,0,76
Kirinyaga East,0,0,17,0,0,0,0,0,4,0,0,2,0,0,19,0,0,1,0,0,0,0,0,1,0,0,57
Kirinyaga North,0,0,4,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,39
Kirinyaga South,0,0,13,0,0,0,0,0,5,0,0,4,0,0,31,0,0,2,0,0,0,0,0,1,0,0,71
Kirinyaga West,0,0,13,0,0,1,0,0,6,0,0,6,1,0,26,0,1,1,0,0,0,0,0,1,0,0,69
Kisasi,0,0,12,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,19
Kisauni,0,0,12,0,0,0,0,0,3,0,0,0,0,1,68,0,0,3,6,0,0,0,0,0,0,2,137
Kisii Central,0,0,24,0,1,0,0,0,5,0,0,0,0,0,11,0,0,0,7,0,0,1,0,2,0,0,110
Kisii South,0,0,11,0,1,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,29
Kisumu East,0,0,21,0,1,0,0,0,5,1,0,1,0,0,29,0,0,3,7,1,0,0,0,2,0,2,145
Kisumu West,0,0,14,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,55
Kitui Central,0,0,48,0,1,0,0,0,1,1,0,0,0,0,23,0,0,4,1,0,0,0,0,0,0,0,99
Kitui West,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,1,0,0,31
Koibatek,0,0,24,0,1,0,0,0,5,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,61
Konoin,0,0,23,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41
Kuresoi,0,0,30,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,1,59
Kuria East,0,0,11,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,45
Kuria West,0,0,14,0,1,0,0,0,11,0,0,0,0,0,16,0,0,1,1,0,0,0,0,1,0,2,84
Kwanza,0,0,14,0,1,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,41
Kyuso,0,0,14,0,1,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,37
Lafey,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
Lagdera,0,0,13,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Laikipia Central,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12
Laikipia East,0,0,15,0,1,0,0,0,1,0,0,0,0,0,13,0,0,1,1,0,0,0,0,0,0,2,46
Laikipia North,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16
Laikipia West,0,0,17,0,1,0,0,0,3,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,38
Lamu East,0,0,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,21
Lamu West,0,0,13,0,1,0,0,0,3,0,0,0,0,0,12,0,0,1,0,0,0,0,0,1,0,1,49
Langata,0,0,18,0,0,0,0,0,1,0,0,0,1,1,25,0,0,0,6,0,0,0,0,0,0,2,88
Lari,0,0,19,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,56
Likoni,0,0,4,0,1,0,0,0,2,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,0,2,47
Likuyani,0,0,7,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,27
Limuru,0,0,8,0,1,0,0,0,6,1,0,0,0,0,20,0,0,1,1,0,0,0,0,0,0,0,62
Loima,0,0,19,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35
Loitoktok,0,0,18,0,1,0,0,0,8,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,63
Londiani,0,0,24,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,34
Lower Yatta,0,0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,26
Loyangalani,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Lugari,0,0,14,0,1,0,0,0,1,0,0,0,0,0,11,0,0,1,0,0,0,0,0,2,0,0,49
Maara,0,0,26,0,1,0,0,0,6,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,70
Machakos,0,0,27,0,0,0,0,0,3,0,0,0,0,0,31,0,0,1,2,1,0,0,0,0,0,1,92
