country,provpcode,province,ctypcode,county,scpcode,Subcounty,dhis2_id,longitude,latitude,dist_to_busia_km,dist_to_malaba_km,dist_to_lwakhakha_km,dist_to_suam_km,dist_to_laikipia_airbase_km
Kenya,KEN_1_1,Coast,KEN_2_1,Mombasa,KEN_3_6,Mvita ,C1xuoa1NAMm,39.66311371776794,-4.053659225098107,795.4102427474432,793.9624186717955,797.3181121152245,802.6179410244713,542.7335649076439
Kenya,KEN_1_7,Nyanza,KEN_2_42,Kisumu,KEN_3_240,Kisumu Central,OpLt8IgyHop,34.75779525895055,-0.0942382146179272,94.8668728092745,97.34966920988411,107.64049174987008,146.16608832989624,252.57257506164984
Kenya,KEN_1_3,Eastern,KEN_2_15,Kitui,KEN_3_70,Kitui West ,cmWAJB5kCDW,37.90094785536114,-1.232590562074689,461.43282076509473,453.56055243020717,452.0409409291285,445.60872405675315,173.09591517965066
Kenya,KEN_1_6,Western,KEN_2_39,Bungoma,KEN_3_219,Bumula,jkQZEow83MX,34.45707732801645,0.5634168194048458,39.568055382222454,21.79856254966971,27.333482630304918,79.12324637638307,291.0359842710072
Kenya,KEN_1_7,Nyanza,KEN_2_42,Kisumu,KEN_3_244,Nyakach,kBQIjtWUBqj,34.92454456719359,-0.3284447039053141,126.17635064531883,129.30404851518648,139.0388333599358,173.51330713914956,237.33120252281677
Kenya,KEN_1_7,Nyanza,KEN_2_46,Nyamira,KEN_3_273,Borabu,ABuzigW8Lzw,35.02203525152226,-0.7150435208157244,165.64062234610049,171.67374439418518,182.6635017759361,217.58016254966273,238.5006775059653
Kenya,KEN_1_3,Eastern,KEN_2_17,Makueni,KEN_3_86,Makueni ,AIGIQpolMRn,37.71076667196178,-1.928866593794347,480.3956271699358,476.7147274992352,478.66709543079895,481.99393095727396,233.30511917985706
Kenya,KEN_1_1,Coast,KEN_2_3,Kilifi,KEN_3_15,Ganze,x7qUMtZZvo9,39.52647248775703,-3.461177421749522,743.2750453533807,740.4038096732867,742.6512743130721,744.9607022939094,479.66963571335157
Kenya,KEN_1_4,Central,KEN_2_19,Nyeri,,Kieni West,odOtfcaMg4p,36.77591021467927,-0.28597951163378,307.5096732904988,296.38379611938774,292.5408079897565,282.34487125927126,46.816209890057124
Kenya,KEN_1_3,Eastern,KEN_2_12,Meru,KEN_3_54,Tigania West,Q4xAPhWUnYC,37.70781065027688,0.2133495265909158,400.5179403026688,384.5834634485999,375.8916939361271,349.34946026707155,78.03249469300953
Kenya,KEN_1_2,North Eastern,KEN_2_8,Wajir,KEN_3_38,Wajir South,U7KFQn3Up3o,40.36021044590865,0.9851579638417488,696.8026255477206,677.6880995111817,665.4650836337692,626.3233517075349,385.0896008106182
Kenya,KEN_1_6,Western,KEN_2_40,Busia,KEN_3_227,Nambale,e1J7R103h8I,34.313014433311295,0.4832741739639264,22.130486521332415,17.511238686673806,35.5226692251122,94.20581847817044,305.24532225509705
Kenya,KEN_1_4,Central,KEN_2_18,Nyandarua,KEN_3_91,Olkalou,Lm9RMwhIu3G,36.33073266355586,-0.2786865171742834,259.96489927950427,250.19452176107413,247.86549952284275,243.70741450461568,85.53954489527251
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_279,Roysambu ,j7GpbairCOi,36.88466290308144,-1.2056214876728568,359.75445060843964,355.15464267512084,356.7006208684328,360.6469607478451,140.91157392303276
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_278,Kibra ,LO5he3DtiFG,36.78790288299162,-1.3059767461212133,356.6286601083892,353.1296419520399,355.59010860297775,362.1793932218617,153.48067588565783
Kenya,KEN_1_5,Rift Valley,KEN_2_30,Baringo,KEN_3_162,Koibatek,Yl9UDBnDvvW,35.713319500674814,0.0162628002054266,184.66894143804942,174.1496415072619,171.96219786286088,172.72840596930115,145.8455279987858
Kenya,KEN_1_6,Western,KEN_2_37,Kakamega,KEN_3_210,Ikolomani,BE6HMtlHyl1,34.70842079285266,0.1878367139634731,72.92299438000936,69.33276863100033,76.9807261946795,114.79975537312973,257.9547930854453
Kenya,KEN_1_7,Nyanza,KEN_2_43,Homa Bay,KEN_3_249,Homa Bay Town,Ur2xRBDtazT,34.48809109947332,-0.5913659686496683,124.73105377074732,138.52936801484088,154.76581520973178,203.22341996770905,291.00418629889214
Kenya,KEN_1_7,Nyanza,KEN_2_45,Kisii,KEN_3_261,Bonchari ,zCCIu1Vi3Wh,34.69054816914925,-0.6672689860317098,141.3879520361896,152.11545359025203,166.39364148360667,209.90388877680974,271.61443136999515
Kenya,KEN_1_5,Rift Valley,KEN_2_36,Bomet,KEN_3_195,Chepalungu,PUhMyfDD2xp,35.25386735308468,-0.8982841126579852,197.66396234049134,202.37640439538924,212.09903917327438,242.60038256104934,223.53217334498848
Kenya,KEN_1_1,Coast,KEN_2_3,Kilifi,KEN_3_14,Rabai,hJf4rt7cvI6,39.604401178715065,-3.90847177007306,780.2243493446979,778.5039306886443,781.6522480714984,786.4116158313121,525.6428570298499
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_276,Dagoretti South,sqNWYDHZZ6W,36.71644049646568,-1.2857317416637335,348.7719860237698,345.480300656069,348.14066335559147,355.44911864014955,152.84497951482953
Kenya,KEN_1_6,Western,KEN_2_37,Kakamega,KEN_3_201,Malava,ES1CWa4AJmJ,34.834385114407254,0.448965325554541,80.04625957474958,65.58641746203426,63.774648044331514,86.49635948724294,247.44632616024225
Kenya,KEN_1_5,Rift Valley,KEN_2_23,Turkana,KEN_3_125,Turkana Central,zd8rhYqGowE,35.91377632535013,3.083590426919693,353.08008311917376,327.4602621498046,306.3176675153973,245.35781003230244,358.7875661138367
Kenya,KEN_1_6,Western,KEN_2_38,Vihiga,KEN_3_215,Emuhaya,Lpy789vqRC6,34.6152590721542,0.0854824380405634,69.94247854049517,71.97245308832332,83.31164918426758,126.81178704038958,267.9070650644882
Kenya,KEN_1_3,Eastern,KEN_2_15,Kitui,KEN_3_68,Mwingi West,svwbDnzhgik,37.96832543687783,-0.9785249638959406,457.6201948858884,448.19476207470365,445.3367678037573,435.0815512732532,155.5463383954611
Kenya,KEN_1_5,Rift Valley,KEN_2_31,Laikipia,KEN_3_164,Laikipia East,pF6qPMIlHte,36.90205096785818,-0.0186945216552568,314.59473889779247,301.04631864999385,294.93565789317194,277.8847383874583,15.819113646132056
Kenya,KEN_1_1,Coast,KEN_2_1,Mombasa,KEN_3_3,Kisauni ,C1hO6wNOgrH,39.68716497211038,-3.9730088442289015,791.8769677433505,790.1472454506401,793.2787777654411,797.9421815829027,536.6822253460466
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_275,Dagoretti North,CcTr4bcVGAG,36.78030824598539,-1.2813816348618705,354.41884855357347,350.7934765431402,353.15970580383754,359.5272128280679,150.936547814762
Kenya,KEN_1_5,Rift Valley,KEN_2_32,Nakuru,KEN_3_170,Kuresoi South ,QwGkDS0DNls,35.64008495861538,-0.5170923005283998,201.81186241284828,198.7014606748379,202.5383810139291,217.98470585952285,166.50723399423143
Kenya,KEN_1_3,Eastern,KEN_2_10,Marsabit,KEN_3_46,NORTH HORR,j6fqt5TYqPZ,37.50948493288311,3.291319194536966,490.89759910553835,465.13407097270095,445.0512074443826,385.1153740927381,363.9987152784145
Kenya,KEN_1_3,Eastern,KEN_2_12,Meru,KEN_3_53,Igembe North,G9DoZvSdGLx,37.98083288286449,0.4624786841139187,429.8804545047471,412.50273453182837,402.32816884463745,370.96837498932604,115.6468906711159
Kenya,KEN_1_6,Western,KEN_2_37,Kakamega,KEN_3_203,Navakholo,G6PJ5kFVAuO,34.675072878207146,0.3906874897582192,62.87505640448039,52.18733570863336,55.899163911703084,92.42775551869133,263.9015399573093
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_113,Juja,aiqi2bz0IMI,37.033270734437245,-1.112552440906163,368.96507317478995,363.1347907025639,363.62225342890395,364.384828888516,129.70734375185611
Kenya,KEN_1_6,Western,KEN_2_39,Bungoma,KEN_3_222,Webuye West,aqYhbqKclsI,34.70320922982705,0.6222561987670994,67.69230745314063,47.63670133006606,41.021213171729386,66.53993592801602,265.72385328693525
Kenya,KEN_1_3,Eastern,KEN_2_15,Kitui,KEN_3_72,Kitui Central ,MWqQbxWqACn,38.017454906908455,-1.3577959330145002,479.003399833662,471.4929791447609,470.24381618139995,464.3816386567812,191.91567474819013
Kenya,KEN_1_6,Western,KEN_2_40,Busia,KEN_3_226,Teso South,EhchjCHkhJ9,34.21682891930856,0.5385244882009161,13.902236339757582,12.631517932648594,33.773484351871296,94.94814886344898,316.7993719715873
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_120,Kikuyu,jOVcLeZQSsS,36.610983106760365,-1.248551997327191,336.75239986168503,333.7345308588363,336.66734443230285,344.99173301888425,151.9456924080882
Kenya,KEN_1_4,Central,KEN_2_18,Nyandarua,KEN_3_90,Kipipiri,KlVgeHmvG6n,36.4886198898534,-0.3976968861690205,280.9086299448941,271.65935250045874,269.64475218993994,265.57671111467045,77.91551605828164
Kenya,KEN_1_5,Rift Valley,KEN_2_27,Uasin Gishu,KEN_3_143,Moiben,q8R0FA1hxnP,35.39477369830077,0.7062312090544018,144.80695046236443,124.74858219005438,113.51329777551572,93.29087016163358,195.18027255451673
Kenya,KEN_1_3,Eastern,KEN_2_13,Tharaka-Nithi,KEN_3_61,Chuka,JmE1qRVQD4F,37.57034861085528,-0.3181870925267519,394.0268381070457,381.47561114476474,375.98856939643906,359.017843176075,73.4649369036938
Kenya,KEN_1_5,Rift Valley,KEN_2_35,Kericho,KEN_3_192,Belgut,YnIAWg1T4AY,35.21952200459171,-0.4006659121677633,156.16500137318505,155.94973561248807,162.6911505890662,188.20519097211502,206.95905591371675
Kenya,KEN_1_2,North Eastern,KEN_2_8,Wajir,KEN_3_37,Eldas,x6Z1sBeiyqQ,39.55108637502611,2.2363091706912788,635.5456159521755,612.8691266227912,596.909997384127,547.4643787747683,371.19343449893006
Kenya,KEN_1_5,Rift Valley,KEN_2_33,Narok,KEN_3_177,Transmara West,Nb6e34jNGAq,34.87424597533095,-1.1833241999140136,201.94779134346552,213.00031215120134,226.91807367296545,267.70901262817364,275.8274648403982
Kenya,KEN_1_3,Eastern,KEN_2_12,Meru,KEN_3_51,Igembe South,wtuGWT7KjVm,37.97159791677994,0.173700831273404,430.09354826652503,414.2349412119247,405.54470937736244,378.5820547283336,106.16246548161925
Kenya,KEN_1_6,Western,KEN_2_39,Bungoma,,Cheptais,NZphHeczehh,34.53832940639163,0.8360302491807317,62.51336746923887,36.76215381012698,18.392221265672397,47.78754922405531,289.7861374519073
Kenya,KEN_1_4,Central,KEN_2_18,Nyandarua,KEN_3_92,Oljoroorok,fVSw60UAC3W,36.33685593423682,-0.0931653861881813,254.80381798032158,243.182187419498,239.22346378605312,230.61972524218328,78.18076902610531
Kenya,KEN_1_5,Rift Valley,KEN_2_29,Nandi,KEN_3_155,Emgwen,Njv37QXxNy2,35.091194036223136,0.1815021488480343,113.10633706516329,103.88216061879517,104.70167957663504,122.20856786447719,215.42995566794534
Kenya,KEN_1_7,Nyanza,KEN_2_46,Nyamira,KEN_3_270,Masaba North,Qn5Fff2lIDz,34.93537508429111,-0.7179880245977576,160.22318316347295,167.51836251650334,179.4113613471172,216.6846109885272,247.63346409148312
Kenya,KEN_1_3,Eastern,KEN_2_16,Machakos,KEN_3_76,Yatta,CeukNtGhW7J,37.581892379090135,-1.238139011348626,429.5845000663302,422.6435917551896,422.0005684391676,418.52014983209546,156.46972181121498
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_122,Lari,nCziQtZ49jj,36.666543498943966,-0.9497454955104082,324.50874658227605,319.0728341908011,320.07742224343826,323.2715448458263,118.48154446179369
Kenya,KEN_1_3,Eastern,KEN_2_12,Meru,KEN_3_52,Igembe Central,TPfcUHno8oP,38.08343056798846,0.1906531548122015,442.35894074823864,426.35298859052597,417.4938973895562,389.87513938812,118.73626946402418
Kenya,KEN_1_4,Central,KEN_2_21,Muranga,KEN_3_105,Mathioya,u7Gkh63FYe4,36.86552028427232,-0.6342125089781887,329.44696564258476,320.8164278981989,319.07736971479943,314.35057208273815,78.52760479579483
Kenya,KEN_1_4,Central,KEN_2_21,Muranga,KEN_3_109,Kandara,gwYTo0wITYX,37.01015003762441,-0.8828118494666687,355.18913403964615,347.87606207020485,347.16174287344995,344.7740589772385,104.16965627169408
Kenya,KEN_1_5,Rift Valley,KEN_2_35,Kericho,KEN_3_188,Kipkelion East,gU0Cz7Qlfss,35.51336107307503,-0.1740191634259767,171.0507764736472,164.54522600261916,166.07033321882133,177.72662693396396,169.92026566982858
Kenya,KEN_1_3,Eastern,KEN_2_16,Machakos,KEN_3_79,Kathiani,iCey76HYgLP,37.29930031840932,-1.4230349223568863,411.72190532001684,406.8125772387362,407.92630280166173,409.7432038911456,167.04764559715701
Kenya,KEN_1_5,Rift Valley,KEN_2_36,Bomet,KEN_3_194,Sotik,KyuSYunELJI,35.13683493685297,-0.7608840232289632,177.59675007012697,182.51847494848528,192.60482059703062,224.82998211728616,228.60171179369115
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_282,Embakasi South,aDp1odOWYC1,36.89257210108842,-1.329393009032679,367.7910059512611,363.96468435539975,366.115724221238,371.6189458042346,154.51194835976708
Kenya,KEN_1_2,North Eastern,KEN_2_9,Mandera,KEN_3_40,BANISSA,hCvlJNjyZna,40.46729555060195,3.979713251073447,806.6452048616269,781.9392316989287,763.4755750901248,707.136572617222,580.4141334848514
Kenya,KEN_1_3,Eastern,KEN_2_13,Tharaka-Nithi,,Tharaka South,Yz1V5Cx8CO2,37.92686307738444,-0.1960765207769875,430.2427529084553,416.47199234876615,409.75900350644355,388.62462456363204,104.12770054216146
Kenya,KEN_1_6,Western,KEN_2_40,Busia,KEN_3_229,Butula,RIBiZFJxB1K,34.29711023781375,0.349183090420268,24.10946073808038,31.99828690339291,50.498276859564115,108.20190225521085,305.0308711939323
Kenya,KEN_1_2,North Eastern,KEN_2_8,Wajir,KEN_3_36,Wajir West,X98G0eIWdmP,39.48354284160695,1.733620724004797,613.2731841511228,591.7516929740104,577.0819788443772,531.3152368917863,331.1096693792958
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_112,Gatundu North,HEsM6W2ImQR,36.805520989120296,-0.9026885329087913,335.6995183224725,329.3132517155321,329.46879995601785,329.99348580154185,109.11649999588083
Kenya,KEN_1_3,Eastern,KEN_2_13,Tharaka-Nithi,,Igambang'ombe,yXwsnpFBIPW,37.78924724094522,-0.3563989153776378,418.7053928733707,406.04583092923906,400.3891717100018,382.52254222695063,96.51117043758464
Kenya,KEN_1_7,Nyanza,KEN_2_46,Nyamira,KEN_3_271,Nyamira,cxjRPbvhjzr,34.92990224402543,-0.5869318679538756,148.10409847085273,154.26417803560864,165.58631690840318,202.13027858000402,243.55104936178543
Kenya,KEN_1_6,Western,KEN_2_39,Bungoma,KEN_3_218,Kabuchai,k1mze33jOs0,34.60329814616084,0.6895235660782638,59.72396184568578,36.98285747177117,27.731798309958272,60.681329995085186,278.3305776480532
Kenya,KEN_1_3,Eastern,KEN_2_16,Machakos,KEN_3_78,Matungulu,GnixPSqaV6D,37.24857327614912,-1.2098639123618455,395.17100467602825,389.1621344523691,389.4090316637713,389.0146233162953,142.717539678538
Kenya,KEN_1_4,Central,KEN_2_18,Nyandarua,KEN_3_93,Ndaragwa,EESGLsSLTqH,36.53449640485079,-0.1175819634981268,276.7915033307268,264.84900387264577,260.4405577639492,249.62786898717948,57.71555963758663
Kenya,KEN_1_7,Nyanza,KEN_2_41,Siaya,KEN_3_237,Rarieda,XcRpb1xsM64,34.338599985354534,-0.2216288028829794,80.4542749275751,95.63691535570604,113.25018925896126,166.14492783164036,300.2141213314794
Kenya,KEN_1_1,Coast,KEN_2_6,Taita Taveta,KEN_3_24,Wundanyi,AM36DdkZ36Y,38.187407082398686,-3.0414633644949216,597.5471252500357,596.9354924410511,601.1625406011867,610.0085861949009,367.66045830262317
Kenya,KEN_1_3,Eastern,KEN_2_17,Makueni,KEN_3_85,Kaiti ,pKJ4NZGPzTA,37.44331394648836,-1.77437136147927,446.13797151212975,442.6356175266704,444.81358087254785,449.19021879093594,208.56121360640742
Kenya,KEN_1_3,Eastern,KEN_2_14,Embu,KEN_3_65,Mbeere South ,AvnM6jKoocs,37.61019398101973,-0.7458163780195909,411.382432302133,401.4223449563251,398.2151662471986,387.605383526108,110.22792904790684
Kenya,KEN_1_4,Central,KEN_2_19,Nyeri,KEN_3_94,Tetu,YT3tecc4atw,36.89539615330705,-0.4571456859280668,325.80379647090217,315.7120847810943,312.70510321637965,304.4214729064924,58.60820451583618
Kenya,KEN_1_7,Nyanza,KEN_2_44,Migori,KEN_3_258,Nyatike,D2lsuEzZAJP,34.22267100620248,-0.938876867016746,156.72016780012802,175.22606795294547,193.69019528167453,246.63030562513606,330.50578938176426
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_111,Gatundu South,EcRytSSIkUq,36.84378770572298,-0.987734285922322,343.8400337250327,337.9119273652395,338.417368273175,339.74921636175196,117.55253554182688
Kenya,KEN_1_5,Rift Valley,KEN_2_29,Nandi,KEN_3_153,Nandi East,W6Err8cQf5J,35.26078877478423,0.1046265388876354,133.63588067880846,124.52818948186659,124.70435858064666,137.2824710973222,196.18552905329358
Kenya,KEN_1_4,Central,KEN_2_19,Nyeri,KEN_3_96,Mathira East,vznKK4IegIL,37.13895807807,-0.4608818044790119,351.7309933322349,341.01428631056405,337.3373717148516,326.4859786963547,58.64134168497952
Kenya,KEN_1_5,Rift Valley,KEN_2_28,Elgeyo-Marakwet,KEN_3_147,Marakwet East sub-county,EZraJgLdRLX,35.577543050951775,1.1538478250558803,179.711120526446,155.84181058516415,139.19124249320245,94.35378550547065,202.08690279319006
Kenya,KEN_1_5,Rift Valley,KEN_2_34,Kajiado,KEN_3_187,Loitokitok,eyADpAXM834,37.46858725695776,-2.6565709475196684,509.4937739945576,509.98000408644504,515.2117225219408,527.6308753232254,305.40808507266706
Kenya,KEN_1_7,Nyanza,KEN_2_45,Kisii,KEN_3_263,Bomachoge Borabu,ntRK47D5dYL,34.754614827123,-0.9140007796196,169.18340948017416,180.42477371732127,194.71572803983773,237.3040987931103,274.36869538427516
Kenya,KEN_1_5,Rift Valley,KEN_2_31,Laikipia,KEN_3_165,Laikipia North,RJyUfi5BQUm,36.87652168148772,0.425017266101266,307.1257324741088,290.2141340842016,280.876305239122,254.3551411754426,44.421721031181804
Kenya,KEN_1_3,Eastern,KEN_2_15,Kitui,KEN_3_71,Kitui Rural,vbauk0RRq9N,37.87144706815917,-1.5205949090284183,472.5285633599594,466.2697239818441,466.0976974964325,463.4148867311587,198.79837645346538
Kenya,KEN_1_5,Rift Valley,KEN_2_27,Uasin Gishu,KEN_3_142,Turbo,KuprsuBe1l0,35.113289987012244,0.5965367664768667,111.97231457227755,93.31195838388085,84.73393154794388,81.29469224799001,220.90184500013817
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_284,Embakasi Central,XvpLXU47BKs,36.91506265088635,-1.2688262265545622,366.3034462633236,361.9872249491475,363.7419690933468,368.1524121699796,147.58199561000717
Kenya,KEN_1_3,Eastern,KEN_2_16,Machakos,KEN_3_82,Mwala,fYYivceocJ2,37.5243363379074,-1.4200078709985484,433.26513361652246,427.54613750947334,427.92420884463775,427.32328912750626,173.0605862241496
Kenya,KEN_1_5,Rift Valley,KEN_2_26,Trans Nzoia,KEN_3_136,Kwanza ,ABy8CNqf2e7,34.98015062241204,1.1449142885040056,122.27547339177731,96.6824384543795,77.38978914123885,28.88680192273754,257.6433239488631
Kenya,KEN_1_6,Western,KEN_2_38,Vihiga,KEN_3_211,Vihiga,OOF3UX4yOt7,34.692115329411,0.032403273278836,80.31889881327466,81.59218264372917,91.82978938239388,132.12694900930373,259.34916339973546
Kenya,KEN_1_6,Western,KEN_2_39,Bungoma,KEN_3_220,Kanduyi,CUjthlounWV,34.59267289301939,0.5533770658785814,54.018875308494884,36.499768151761,36.044708236264235,75.71276522222685,276.0361258666382
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_287,Makadara ,wwROy3Qkwin,36.86911962206104,-1.2953780765491516,363.552904578479,359.612095031709,361.6852697001097,367.048306196461,151.0229901826753
Kenya,KEN_1_5,Rift Valley,KEN_2_31,Laikipia,KEN_3_163,Laikipia West,pXbWrnFPpKb,36.471738572120834,0.3004355407477314,262.7336900744988,247.0929119852747,239.25864672022288,218.85294059565499,67.29002444244969
Kenya,KEN_1_5,Rift Valley,KEN_2_32,Nakuru,KEN_3_168,Naivasha ,yZJJPoSGhY6,36.39326921775048,-0.8739418001814807,293.9437698213912,289.2567049882412,291.0433755648454,297.24774871667,124.7757392138154
Kenya,KEN_1_5,Rift Valley,KEN_2_35,Kericho,KEN_3_193,Sigowet/Soin,ScLzA7tQxrH,35.11533380288363,-0.3009714147652072,140.21631052858763,139.95735553010863,146.99174532498557,174.42869501089694,215.91406041588445
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_285,Embakasi East,gD4xxgDGJ4Y,36.93538849714291,-1.3003257169562572,370.072876912397,365.87186197697963,367.7074022526512,372.2759202012112,150.9079042979433
Kenya,KEN_1_5,Rift Valley,KEN_2_35,Kericho,KEN_3_191,Bureti,wt8cPHWfkfu,35.13193225632101,-0.5663917166072369,161.1901303875433,164.18833647587766,173.15981648079463,203.56882659629028,221.44517383232372
Kenya,KEN_1_4,Central,KEN_2_19,Nyeri,KEN_3_99,Nyeri Central,GXnD5lHeanK,36.96824254216052,-0.4212290024161258,332.2929019911232,321.7218906819264,318.25763879421874,308.48350368735294,53.199675962077286
Kenya,KEN_1_3,Eastern,KEN_2_10,Marsabit,KEN_3_47,SAKU,WILszL634oZ,37.947701703588,2.3321621082972763,473.8901053701296,449.69140057369924,431.99511150665427,378.2464418397416,273.33337597664024
Kenya,KEN_1_1,Coast,KEN_2_1,Mombasa,KEN_3_1,Changamwe,OvI6w06DhPJ,39.616681007276135,-4.0288821406974975,789.6759904015221,788.2677004624069,791.6596511355921,797.0874982796958,537.6374871546798
Kenya,KEN_1_1,Coast,KEN_2_3,Kilifi,KEN_3_13,Kaloleni,tSKDWoVKiPo,39.52438629303823,-3.764506405664457,763.3489060076755,761.3993039605883,764.3767056678217,768.7115541089036,507.3863444467181
Kenya,KEN_1_3,Eastern,KEN_2_16,Machakos,KEN_3_80,Athi River,BxfsSc6Svrc,37.057486714604615,-1.4342996576436975,389.51950285020615,385.6327387016155,387.6586520764445,392.4251459386966,165.52113638456788
Kenya,KEN_1_7,Nyanza,KEN_2_45,Kisii,KEN_3_262,South Mugirango,WHG67QCDRS9,34.65616063574405,-0.8509161371846788,158.36926288457332,170.69387401726118,185.73685299526448,230.42727842236312,281.89310937159684
